year,doll/jpy
1980/01,237.73
1980/02,244.07
1980/03,248.61
1980/04,251.45
1980/05,228.06
1980/06,218.11
1980/07,220.91
1980/08,224.34
1980/09,214.95
1980/10,209.21
1980/11,212.99
1980/12,209.79
1981/01,202.19
1981/02,205.76
1981/03,208.84
1981/04,215.07
1981/05,220.78
1981/06,224.21
1981/07,232.11
1981/08,233.62
1981/09,229.83
1981/10,231.4
1981/11,223.76
1981/12,219.02
1982/01,224.55
1982/02,235.25
1982/03,240.64
1982/04,244.9
1982/05,236.97
1982/06,251.11
1982/07,255.1
1982/08,258.67
1982/09,262.74
1982/10,271.33
1982/11,265.02
1982/12,242.49
1983/01,232.9
1983/02,236.27
1983/03,237.92
1983/04,237.7
1983/05,234.78
1983/06,240.06
1983/07,240.49
1983/08,244.36
1983/09,242.71
1983/10,233
1983/11,235.25
1983/12,234.34
1984/01,233.95
1984/02,233.67
1984/03,225.52
1984/04,224.95
1984/05,230.67
1984/06,233.29
1984/07,242.72
1984/08,242.24
1984/09,245.19
1984/10,246.89
1984/11,243.29
1984/12,247.96
1985/01,254.11
1985/02,260.34
1985/03,258.43
1985/04,251.67
1985/05,251.57
1985/06,248.95
1985/07,241.7
1985/08,237.2
1985/09,236.91
1985/10,214.84
1985/11,203.85
1985/12,202.75
1986/01,200.05
1986/02,184.62
1986/03,178.83
1986/04,175.56
1986/05,166.89
1986/06,167.82
1986/07,158.65
1986/08,154.11
1986/09,154.78
1986/10,156.04
1986/11,162.72
1986/12,162.13
1987/01,154.48
1987/02,153.49
1987/03,151.56
1987/04,142.96
1987/05,140.47
1987/06,144.52
1987/07,150.2
1987/08,147.57
1987/09,143.03
1987/10,143.48
1987/11,135.25
1987/12,128.25
1988/01,127.44
1988/02,129.26
1988/03,127.23
1988/04,124.88
1988/05,124.74
1988/06,127.2
1988/07,133.1
1988/08,133.63
1988/09,134.45
1988/10,128.85
1988/11,123.16
1988/12,123.63
1989/01,127.24
1989/02,127.77
1989/03,130.35
1989/04,132.01
1989/05,138.4
1989/06,143.92
1989/07,140.63
1989/08,141.2
1989/09,145.06
1989/10,141.99
1989/11,143.55
1989/12,143.62
1990/01,145.09
1990/02,145.54
1990/03,153.19
1990/04,158.5
1990/05,153.52
1990/06,153.78
1990/07,149.23
1990/08,147.46
1990/09,138.96
1990/10,129.73
1990/11,129.01
1990/12,133.72
1991/01,133.65
1991/02,130.44
1991/03,137.09
1991/04,137.15
1991/05,138.02
1991/06,139.83
1991/07,137.98
1991/08,136.85
1991/09,134.59
1991/10,130.81
1991/11,129.64
1991/12,128.07
1992/01,125.05
1992/02,127.53
1992/03,132.75
1992/04,133.59
1992/05,130.55
1992/06,126.9
1992/07,125.66
1992/08,126.34
1992/09,122.72
1992/10,121.14
1992/11,123.84
1992/12,123.98
1993/01,125.02
1993/02,120.97
1993/03,117.02
1993/04,112.37
1993/05,110.23
1993/06,107.29
1993/07,107.77
1993/08,103.72
1993/09,105.27
1993/10,106.94
1993/11,107.81
1993/12,109.72
1994/01,111.49
1994/02,106.14
1994/03,105.12
1994/04,103.48
1994/05,104
1994/06,102.69
1994/07,98.54
1994/08,99.86
1994/09,98.79
1994/10,98.4
1994/11,98
1994/12,100.17
1995/01,99.79
1995/02,98.23
1995/03,90.77
1995/04,83.53
1995/05,85.21
1995/06,84.54
1995/07,87.24
1995/08,94.56
1995/09,100.31
1995/10,100.68
1995/11,101.89
1995/12,101.86
1996/01,105.81
1996/02,105.7
1996/03,105.85
1996/04,107.4
1996/05,106.49
1996/06,108.82
1996/07,109.25
1996/08,107.84
1996/09,109.76
1996/10,112.3
1996/11,112.27
1996/12,113.74
1997/01,118.18
1997/02,123.01
1997/03,122.66
1997/04,125.47
1997/05,118.91
1997/06,114.31
1997/07,115.1
1997/08,117.89
1997/09,120.74
1997/10,121.13
1997/11,125.35
1997/12,129.52
1998/01,129.45
1998/02,125.85
1998/03,128.83
1998/04,131.81
1998/05,135.08
1998/06,140.35
1998/07,140.66
1998/08,144.76
1998/09,134.5
1998/10,121.33
1998/11,120.61
1998/12,117.4
1999/01,113.14
1999/02,116.73
1999/03,119.71
1999/04,119.66
1999/05,122.14
1999/06,120.81
1999/07,119.76
1999/08,113.3
1999/09,107.45
1999/10,106
1999/11,104.83
1999/12,102.61
2000/01,105.21
2000/02,109.34
2000/03,106.62
2000/04,105.35
2000/05,108.13
2000/06,106.13
2000/07,107.9
2000/08,108.02
2000/09,106.75
2000/10,108.34
2000/11,108.87
2000/12,112.21
2001/01,117.1
2001/02,116.1
2001/03,121.21
2001/04,123.77
2001/05,121.83
2001/06,122.19
2001/07,124.63
2001/08,121.53
2001/09,118.91
2001/10,121.32
2001/11,122.33
2001/12,127.32
2002/01,132.66
2002/02,133.53
2002/03,131.15
2002/04,131.01
2002/05,126.39
2002/06,123.44
2002/07,118.08
2002/08,119.03
2002/09,120.49
2002/10,123.88
2002/11,121.54
2002/12,122.17
2003/01,118.67
2003/02,119.29
2003/03,118.49
2003/04,119.82
2003/05,117.26
2003/06,118.27
2003/07,118.65
2003/08,118.81
2003/09,115.09
2003/10,109.58
2003/11,109.18
2003/12,107.87
2004/01,106.39
2004/02,106.54
2004/03,108.57
2004/04,107.31
2004/05,112.27
2004/06,109.45
2004/07,109.34
2004/08,110.41
2004/09,110.05
2004/10,108.9
2004/11,104.86
2004/12,103.82
2005/01,103.27
2005/02,104.84
2005/03,105.3
2005/04,107.35
2005/05,106.94
2005/06,108.62
2005/07,111.94
2005/08,110.65
2005/09,111.03
2005/10,114.84
2005/11,118.45
2005/12,118.6
2006/01,115.33
2006/02,117.81
2006/03,117.31
2006/04,117.13
2006/05,111.53
2006/06,114.57
2006/07,115.59
2006/08,115.86
2006/09,117.02
2006/10,118.59
2006/11,117.33
2006/12,117.26
2007/01,120.59
2007/02,120.49
2007/03,117.29
2007/04,118.81
2007/05,120.77
2007/06,122.64
2007/07,121.56
2007/08,116.74
2007/09,115.01
2007/10,115.77
2007/11,111.24
2007/12,112.28
2008/01,107.6
2008/02,107.18
2008/03,100.83
2008/04,102.41
2008/05,104.11
2008/06,106.86
2008/07,106.76
2008/08,109.24
2008/09,106.71
2008/10,100.2
2008/11,96.89
2008/12,91.21
2009/01,90.35
2009/02,92.53
2009/03,97.83
2009/04,98.92
2009/05,96.43
2009/06,96.58
2009/07,94.49
2009/08,94.9
2009/09,91.4
2009/10,90.28
2009/11,89.11
2009/12,89.52
2010/01,91.26
2010/02,90.28
2010/03,90.56
2010/04,93.43
2010/05,91.79
2010/06,90.89
2010/07,87.67
2010/08,85.44
2010/09,84.31
2010/10,81.8
2010/11,82.43
2010/12,83.38
2011/01,82.63
2011/02,82.52
2011/03,81.82
2011/04,83.34
2011/05,81.23
2011/06,80.49
2011/07,79.44
2011/08,77.09
2011/09,76.78
2011/10,76.72
2011/11,77.5
2011/12,77.81
2012/01,76.94
2012/02,78.47
2012/03,82.37
2012/04,81.42
2012/05,79.7
2012/06,79.27
2012/07,78.96
2012/08,78.68
2012/09,78.17
2012/10,78.97
2012/11,80.92
2012/12,83.6
2013/01,89.15
